CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,KMeans_Label,Cluster_Name,Heuristic_Segment
14770,94,9,951.06335,3,2,2,7,3,Loyal Customers,Potential Loyalists
14775,337,9,1496.3585400000002,1,2,2,5,0,Regular Customers,Hibernating
14776,33,19,3021.59832,4,3,3,10,3,Loyal Customers,Loyal Customers
14777,195,1,33.96039999999999,2,1,1,4,2,At Risk Customers,Hibernating
14778,11,15,2782.43437,4,3,3,10,3,Loyal Customers,Loyal Customers
14779,90,20,8732.059459999999,3,3,4,10,3,Loyal Customers,Loyal Customers
14782,80,3,490.8747,3,1,1,5,3,Loyal Customers,New Customers
14784,97,3,242.473,3,1,1,5,2,At Risk Customers,New Customers
14794,142,5,791.51152,2,1,2,5,3,Loyal Customers,Hibernating
14796,81,80,14861.47738,3,4,4,11,1,VIP Customers,Loyal Customers
14798,18,5,1220.4315000000001,4,1,2,7,3,Loyal Customers,New Customers
14800,146,73,10929.28612,2,4,4,10,1,VIP Customers,Loyal Customers
14805,40,15,3043.0476,4,3,3,10,3,Loyal Customers,Loyal Customers
14810,4,24,4596.58566,4,4,4,12,3,Loyal Customers,Champions
14813,320,25,2945.37494,1,4,3,8,0,Regular Customers,Loyal Customers
14821,280,1,353.43,1,1,1,3,0,Regular Customers,Hibernating
14825,201,11,2088.66344,2,3,3,8,0,Regular Customers,Loyal Customers
14828,152,3,260.7346,2,1,1,4,2,At Risk Customers,Hibernating
14829,203,19,4848.3263,2,3,4,9,0,Regular Customers,Loyal Customers
14841,202,11,2344.07776,2,3,3,8,0,Regular Customers,Loyal Customers
14842,5,2,180.28400000000002,4,1,1,6,2,At Risk Customers,New Customers
14849,59,31,5102.34702,3,4,4,11,3,Loyal Customers,Loyal Customers
14850,26,12,1413.8829,4,3,2,9,3,Loyal Customers,Potential Loyalists
14865,336,1,36.8382,1,1,1,3,2,At Risk Customers,Hibernating
14866,269,1,15.9495,1,1,1,3,2,At Risk Customers,Hibernating
14867,147,8,779.9616000000001,2,2,2,6,3,Loyal Customers,Hibernating
14871,221,8,867.8289200000002,2,2,2,6,0,Regular Customers,Hibernating
14878,200,6,969.4347600000001,2,2,2,6,0,Regular Customers,Hibernating
14889,148,7,515.2076000000001,2,2,1,5,2,At Risk Customers,Hibernating
14895,93,1,85.08,3,1,1,5,2,At Risk Customers,New Customers
14896,262,19,3654.3562,1,3,3,7,0,Regular Customers,Loyal Customers
14898,111,9,1633.82198,3,2,2,7,3,Loyal Customers,Potential Loyalists
14901,222,25,4610.75994,1,4,4,9,0,Regular Customers,Loyal Customers
14907,222,20,4863.963220000001,1,3,4,8,0,Regular Customers,Loyal Customers
14911,11,276,51127.857710000004,4,4,4,12,1,VIP Customers,Champions
14913,206,7,671.12936,2,2,1,5,0,Regular Customers,Hibernating
